,Area name,Area code,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23
10,East Riding of Yorkshire,E06000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,10.0,10.0,12.0,13.0,14.0,16.0,16.0,16.0,18.0,23.0,25.0,31.0,34.0,37.0,40.0,50.0,62.0,77.0,86.0,93.0,105.0,119.0,129.0,149.0,169.0,189.0,198.0,220.0,226.0,242.0,259.0,286.0,308.0,329.0,342.0,355.0,376.0,400.0,412.0,412.0
11,North East Lincolnshire,E06000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,6.0,10.0,15.0,18.0,21.0,22.0,25.0,29.0,31.0,36.0,37.0,47.0,50.0,52.0,58.0,61.0,65.0,69.0,73.0,78.0,80.0,84.0,90.0,90.0,91.0,100.0,102.0,103.0,107.0,109.0,109.0
12,North Lincolnshire,E06000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,6.0,7.0,10.0,13.0,15.0,17.0,23.0,26.0,34.0,42.0,46.0,59.0,63.0,63.0,70.0,75.0,85.0,102.0,105.0,121.0,129.0,136.0,152.0,168.0,180.0,199.0,211.0,218.0,235.0,244.0,244.0
13,York,E06000014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,9.0,11.0,12.0,13.0,13.0,14.0,16.0,17.0,18.0,23.0,30.0,30.0,34.0,39.0,51.0,62.0,70.0,74.0,78.0,88.0,101.0,111.0,120.0,126.0,129.0,134.0,146.0,153.0,160.0,170.0,182.0,186.0,192.0,200.0,209.0,209.0
14,Derby,E06000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,6.0,7.0,11.0,17.0,20.0,24.0,34.0,37.0,45.0,59.0,76.0,97.0,108.0,116.0,124.0,145.0,165.0,187.0,211.0,241.0,260.0,282.0,300.0,302.0,304.0,318.0,329.0,340.0,352.0,365.0,374.0,378.0,383.0,391.0,395.0,406.0,409.0,413.0,422.0,423.0,423.0
15,Leicester,E06000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,5.0,8.0,13.0,19.0,21.0,26.0,33.0,44.0,64.0,69.0,82.0,90.0,101.0,102.0,107.0,134.0,167.0,191.0,216.0,231.0,251.0,277.0,299.0,319.0,350.0,370.0,387.0,409.0,418.0,431.0,446.0,456.0,467.0,482.0,505.0,532.0,543.0,545.0
16,Rutland,E06000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
17,Nottingham,E06000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,9.0,13.0,14.0,16.0,17.0,22.0,24.0,28.0,35.0,41.0,50.0,55.0,62.0,71.0,87.0,96.0,100.0,107.0,118.0,132.0,148.0,168.0,184.0,199.0,210.0,231.0,253.0,269.0,281.0,295.0,307.0,318.0,331.0,341.0,350.0,365.0,385.0,388.0,398.0,416.0,434.0,448.0
18,"Herefordshire, County of",E06000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,6.0,7.0,7.0,7.0,12.0,12.0,15.0,21.0,24.0,24.0,25.0,27.0,31.0,35.0,40.0,49.0,55.0,59.0,64.0,68.0,72.0,83.0,86.0,91.0,96.0,102.0,108.0,117.0,124.0,129.0,132.0,137.0,143.0,153.0,159.0,173.0,175.0,175.0
19,Telford and Wrekin,E06000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,11.0,12.0,14.0,14.0,19.0,22.0,25.0,31.0,39.0,45.0,55.0,61.0,67.0,71.0,78.0,85.0,92.0,101.0,104.0,116.0,122.0,124.0,131.0,133.0,136.0,139.0,144.0,150.0,156.0,166.0,183.0,187.0,196.0,202.0,205.0
20,Stoke-on-Trent,E06000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,7.0,9.0,11.0,15.0,20.0,25.0,30.0,33.0,37.0,54.0,68.0,71.0,88.0,97.0,108.0,114.0,121.0,125.0,136.0,154.0,165.0,189.0,200.0,210.0,225.0,239.0,254.0,266.0,281.0,293.0,304.0,321.0,341.0,345.0
21,Bath and North East Somerset,E06000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,10.0,13.0,16.0,17.0,19.0,23.0,26.0,30.0,35.0,39.0,41.0,47.0,52.0,52.0,57.0,61.0,65.0,66.0,71.0,82.0,90.0,98.0,109.0,125.0,135.0,137.0,143.0,152.0,159.0,163.0,169.0,173.0,183.0,184.0,187.0,187.0
22,"Bristol, City of",E06000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,8.0,10.0,11.0,11.0,15.0,22.0,24.0,28.0,36.0,41.0,50.0,54.0,66.0,80.0,94.0,104.0,116.0,133.0,151.0,168.0,183.0,203.0,213.0,227.0,240.0,261.0,289.0,306.0,324.0,350.0,364.0,380.0,397.0,419.0,447.0,461.0,474.0,486.0,507.0,516.0,519.0
23,North Somerset,E06000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,11.0,13.0,15.0,16.0,16.0,17.0,17.0,17.0,19.0,20.0,20.0,20.0,21.0,28.0,31.0,37.0,39.0,43.0,51.0,55.0,63.0,69.0,77.0,83.0,87.0,93.0,97.0,102.0,113.0,117.0,124.0,125.0,130.0,135.0,144.0,147.0,165.0,171.0,173.0,177.0,182.0,183.0
24,South Gloucestershire,E06000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,9.0,12.0,12.0,13.0,13.0,14.0,16.0,17.0,17.0,20.0,23.0,31.0,36.0,49.0,53.0,59.0,67.0,76.0,91.0,102.0,108.0,117.0,127.0,136.0,146.0,156.0,165.0,193.0,206.0,212.0,218.0,222.0,224.0,232.0,251.0,257.0,264.0,273.0,280.0,296.0,303.0,304.0
25,Plymouth,E06000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,6.0,7.0,7.0,10.0,12.0,14.0,16.0,16.0,19.0,26.0,29.0,38.0,41.0,44.0,49.0,56.0,58.0,66.0,78.0,92.0,102.0,103.0,108.0,116.0,120.0,129.0,142.0,143.0,150.0,162.0,178.0,189.0,193.0,200.0,202.0,215.0,224.0,238.0,246.0
26,Torbay,E06000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,10.0,15.0,16.0,17.0,19.0,21.0,22.0,27.0,33.0,36.0,37.0,42.0,49.0,52.0,54.0,54.0,58.0,61.0,63.0,69.0,72.0,93.0,98.0,99.0,101.0,104.0,107.0,110.0,111.0,127.0,130.0,152.0,162.0,168.0,169.0
27,Swindon,E06000030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,8.0,8.0,9.0,9.0,12.0,15.0,19.0,22.0,27.0,30.0,31.0,36.0,42.0,46.0,54.0,66.0,73.0,85.0,95.0,104.0,121.0,136.0,155.0,169.0,186.0,196.0,211.0,228.0,239.0,255.0,266.0,272.0,286.0,303.0,307.0,307.0
28,Peterborough,E06000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,9.0,12.0,16.0,19.0,21.0,22.0,26.0,32.0,37.0,40.0,46.0,50.0,56.0,61.0,71.0,75.0,81.0,89.0,98.0,103.0,105.0,109.0,111.0,113.0,120.0,124.0,128.0,140.0,151.0,152.0,156.0,165.0,171.0,171.0
29,Luton,E06000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,8.0,14.0,18.0,27.0,29.0,34.0,42.0,57.0,68.0,77.0,89.0,99.0,109.0,125.0,151.0,168.0,191.0,209.0,223.0,250.0,278.0,308.0,343.0,359.0,381.0,397.0,420.0,435.0,459.0,468.0,472.0,496.0,529.0,530.0,538.0,548.0,548.0
30,Southend-on-Sea,E06000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,9.0,13.0,19.0,25.0,27.0,35.0,42.0,48.0,59.0,72.0,87.0,103.0,117.0,135.0,150.0,159.0,178.0,196.0,201.0,207.0,217.0,221.0,228.0,238.0,245.0,251.0,254.0,255.0,256.0,261.0,265.0,266.0,266.0
31,Thurrock,E06000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,8.0,13.0,14.0,14.0,17.0,22.0,31.0,33.0,37.0,47.0,59.0,66.0,73.0,83.0,93.0,103.0,120.0,125.0,133.0,142.0,150.0,164.0,182.0,187.0,191.0,199.0,204.0,212.0,216.0,218.0,227.0,231.0,235.0,236.0,242.0,244.0,244.0
32,Medway,E06000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,8.0,11.0,11.0,13.0,14.0,16.0,17.0,20.0,22.0,32.0,35.0,46.0,62.0,72.0,83.0,91.0,100.0,109.0,119.0,136.0,169.0,193.0,208.0,232.0,251.0,281.0,318.0,340.0,360.0,383.0,401.0,414.0,425.0,438.0,455.0,471.0,496.0,512.0,523.0,541.0,547.0,548.0
